,glc,ac,glyc
HSK,0.0+/-0,0.0+/-0,0.0+/-0
OCTDPS,0.0+/-0,0.0+/-0,0.0+/-0
ANPRT,0.0+/-0,0.0+/-0,0.0+/-0
GARFT,0.0+/-0,0.0+/-0,0.0+/-0
PPCDC,0.0+/-0,0.0+/-0,0.0+/-0
DHORTS_reverse,0.10+/-0.10,0.005+/-0.005,0.017+/-0.018
GND,0.0+/-0,0.0+/-0,0.0+/-0
ILETA_reverse,0.0+/-0,0.0+/-0,0.0+/-0
ACOAD4f_reverse,0.0+/-0,0.0+/-0,0.0+/-0
CHORS,0.0+/-0,0.0+/-0,0.0+/-0
HCO3E,0.0+/-0,0.0+/-0,0.0+/-0
DMATT,0.0+/-0,0.0+/-0,0.0+/-0
ICDHyr,0.0+/-0,0.0+/-0,0.0+/-0
PRMICI,0.0+/-0,0.0+/-0,0.0+/-0
TRPAS2_reverse,0.0+/-0,0.0+/-0,0.0+/-0
PFK,0.0+/-0,0.0+/-0,0.0+/-0
PGK_reverse,0.0+/-0,0.0+/-0,0.0+/-0
HMBS,0.0+/-0,0.0+/-0,0.0+/-0
GTPCI,0.0+/-0,0.0+/-0,0.0+/-0
PPPGO3,0.0+/-0,0.0+/-0,0.0+/-0
DHAD1,0.0+/-0,0.0+/-0,0.0+/-0
DHAD2,0.0+/-0,0.0+/-0,0.0+/-0
KARA1_reverse,0.0+/-0,0.0+/-0,0.0+/-0
VALTA_reverse,0.0+/-0,0.0+/-0,0.0+/-0
PPNDH,0.0+/-0,0.0+/-0,0.0+/-0
PGL,0.0+/-0,0.0+/-0,0.0+/-0
PGI,0.895782145782+/-0,0.810710301227+/-0,0.843336411203+/-0
FADRx,0.0+/-0,0.0+/-0,0.0+/-0
G3PD2_reverse,0.598+/-0.007,0.576+/-0.007,0.828+/-0.004
PRATPP,0.0+/-0,0.0+/-0,0.0+/-0
PRAIi,0.0+/-0,0.0+/-0,0.0+/-0
PRAIS,0.0+/-0,0.0+/-0,0.0+/-0
AIRC3_reverse,0.0+/-0,0.0+/-0,0.0+/-0
KARA2,0.0+/-0,0.0+/-0,0.0+/-0
ACOAD3f_reverse,0.0+/-0,0.0+/-0,0.0+/-0
ADSS,0.99994+/-0.00008,nan+/-nan,nan+/-nan
SHSL1,0.0+/-0,0.0+/-0,0.0+/-0
MTHFR2,0.0+/-0,0.0+/-0,0.0+/-0
ADSK,0.999941+/-0.000020,nan+/-nan,nan+/-nan
AIRC2,0.0+/-0,0.0+/-0,0.0+/-0
DB4PS,0.0+/-0,0.0+/-0,0.0+/-0
HISTP,0.0+/-0,0.0+/-0,0.0+/-0
TMDS,0.0+/-0,0.0+/-0,0.0+/-0
HISTD,0.0+/-0,0.0+/-0,0.0+/-0
ASP1DC,0.965532983337+/-0,0.979869350753+/-0,0.984022854724+/-0
PRASCSi,0.0+/-0,0.0+/-0,0.0+/-0
ACOAD6f_reverse,0.0+/-0,0.0+/-0,0.0+/-0
UAPGR,0.0+/-0,0.0+/-0,0.0+/-0
DHQS,0.0+/-0,0.0+/-0,0.0+/-0
ACGS,0.997863656518+/-0,0.995592546786+/-0,0.998862458906+/-0
ACGK,0.0+/-0,0.0+/-0,0.0+/-0
GK1,0.0+/-0,0.0+/-0,0.0+/-0
FACOAE161,0.0+/-0,0.0+/-0,0.0+/-0
FACOAE160,0.0+/-0,0.0+/-0,0.0+/-0
GCALDD,0.0+/-0,0.0+/-0,0.0+/-0
NADK,0.90+/-0.07,0.79+/-0.14,0.93+/-0.05
HSST,0.0+/-0,0.0+/-0,0.0+/-0
DXPRIi,0.0+/-0,0.0+/-0,0.0+/-0
PMPK,0.0+/-0,0.0+/-0,0.0+/-0
IPPS,0.0+/-0,0.0+/-0,0.0+/-0
PSERT,0.0+/-0,0.0+/-0,0.0+/-0
AICART,0.0+/-0,0.0+/-0,0.0+/-0
NNDPR,0.968505129273+/-0,0.772437183181+/-0,0.87529041445+/-0
PTPATi,0.0+/-0,0.0+/-0,0.0+/-0
AHCYSNS,0.0+/-0,0.0+/-0,0.0+/-0
SERAT,0.14+/-0.12,0.20+/-0.15,0.35+/-0.22
CHRPL,0.0+/-0,0.0+/-0,0.0+/-0
UHGADA,0.0+/-0,0.0+/-0,0.0+/-0
AGPR_reverse,0.0+/-0,0.0+/-0,0.0+/-0
MTHFC,0.0+/-0,0.0+/-0,0.0+/-0
MTHFD,0.0+/-0,0.0+/-0,0.0+/-0
OMPDC,0.0+/-0,0.0+/-0,0.0+/-0
ACOAD1f_reverse,0.0+/-0,0.0+/-0,0.0+/-0
ADCL,0.0+/-0,0.0+/-0,0.0+/-0
DPCOAK,0.0+/-0,0.0+/-0,0.0+/-0
UAMAGS,0.0+/-0,0.0+/-0,0.0+/-0
DHPS2,0.0+/-0,0.0+/-0,0.0+/-0
G1PACT,0.0+/-0,0.0+/-0,0.0+/-0
THDPS,0.0+/-0,0.0+/-0,0.0+/-0
PPNCL2,0.0+/-0,0.0+/-0,0.0+/-0
DHPPDA2,0.0+/-0,0.0+/-0,0.0+/-0
APRAUR,0.0+/-0,0.0+/-0,0.0+/-0
MDH,0.865096787068+/-0,0.922900580527+/-0,0.954175704989+/-0
DHFS,0.0+/-0,0.0+/-0,0.0+/-0
GTPCII2,0.0+/-0,0.0+/-0,0.0+/-0
HSTPT,0.0+/-0,0.0+/-0,0.0+/-0
MEPCT,0.0+/-0,0.0+/-0,0.0+/-0
ACOAD7f_reverse,0.0+/-0,0.0+/-0,0.0+/-0
ATPPRT,0.0+/-0,0.0+/-0,0.0+/-0
PRAMPC,0.0+/-0,0.0+/-0,0.0+/-0
MECDPS,0.0+/-0,0.0+/-0,0.0+/-0
IMPD,0.0+/-0,0.0+/-0,0.0+/-0
PGAMT_reverse,0.947+/-0.012,0.829+/-0.033,0.853+/-0.029
DAPDC,0.0+/-0,0.0+/-0,0.0+/-0
DAPE,0.0+/-0,0.0+/-0,0.0+/-0
FMNAT,0.0+/-0,0.0+/-0,0.0+/-0
IGPDH,0.0+/-0,0.0+/-0,0.0+/-0
SHCHD2,0.0+/-0,0.0+/-0,0.0+/-0
GHMT2r,0.0+/-0,0.0+/-0,0.0+/-0
IPDPS,0.0+/-0,0.0+/-0,0.0+/-0
GAPD,0.0+/-0,0.0+/-0,0.0+/-0
GRTT,0.0+/-0,0.0+/-0,0.0+/-0
PNTK,0.0+/-0,0.0+/-0,0.0+/-0
ARGSL,0.0+/-0,0.0+/-0,0.0+/-0
UAMAS,0.0+/-0,0.0+/-0,0.0+/-0
ARGSS,0.0+/-0,0.0+/-0,0.0+/-0
UGMDDS,0.0+/-0,0.0+/-0,0.0+/-0
PPC,0.0+/-0,0.0+/-0,0.0+/-0
PRAGSr,0.0+/-0,0.0+/-0,0.0+/-0
TPI,0.0+/-0,0.0+/-0,0.0+/-0
BPNT,0.0+/-0,0.0+/-0,0.0+/-0
LPADSS,0.0+/-0,0.0+/-0,0.0+/-0
NADS1,0.0+/-0,0.0+/-0,0.0+/-0
IMPC_reverse,0.0+/-0,0.0+/-0,0.0+/-0
CPPPGO,0.0+/-0,0.0+/-0,0.0+/-0
GF6PTA,0.0+/-0,0.0+/-0,0.0+/-0
CDPMEK,0.0+/-0,0.0+/-0,0.0+/-0
