reactions,bnumber,gene,MW of subunit (KDa),subunits,Catalytic Sites,kcat [1/s],kcat per subunit
PNTK,b3974,coaA,36.3593127,2,1,1.14,0.57
PPC,b3956,ppc,99.0614335,4,2,540,270
PPCDC,b3639,coaBC,43.4376443,12,6,0.868752886,0.434376443
PPKr_reverse,b2501,ppk,80.4304925,2,1,10.5,5.25
PPND,b2600,tyrA,42.04202,2,2,84.78474033,84.78474033
PPNDH,b2599,pheA,43.110836,2,2,45.98489173,45.98489173
PPPGO3,b3850,hemG,21.2260465,4,2,0.292,0.146
PPS,b1702,ppsA,87.4340998,2,2,12.969525,12.969525
PRAGSr,b4005,purD,45.9398369,1,1,32.92354978,32.92354978
PRAIi,b1262,trpC,49.491724,1,1,40,40
PRAIS,b2499,purM,36.8536207,2,1,4.115320978,2.057660489
PRMICI,b2024,hisA,26.0323222,1,1,14.3,14.3
PSD160,b4160,psd,35.9339708,1,1,29.34607615,29.34607615
PSERT,b0907,serC,39.7828424,2,2,1.75,1.75
PSSA160,b2585,pssA,52.8011363,1,1,34.3207386,34.3207386
RBFSa,b0415,ribE,16.1563027,60,60,0.05295677,0.05295677
RPI,b2914,rpiA,22.8601279,2,2,2100,2100
TMPK,b0417,thiL,35.0704423,1,1,0.1151479522,0.1151479522
TPI,b3919,tpiA,26.9715025,2,1,500,250
TPI_reverse,b3919,tpiA,26.9715025,2,1,9000,4500
UAGDP,b3730,glmU,49.1894964,3,1,7.009503237,2.336501079
UAGPT3,b0090,murG,37.8142744,1,1,0.7166666667,0.7166666667
UAMAGS,b0088,murD,46.9730941,1,1,6.7166,6.7166
UAMAS,b0091,murC,53.6253298,2,2,6.85,6.85
UDPG4E_reverse,b0759,galE,37.2646652,2,2,750,750
